customer_unique_id,price
00082cbe03e478190aadbea78542e933,79.0
00191a9719ef48ebb5860b130347bf33,47.9
0019e8c501c85848ac0966d45226fa1d,159.99
0023557a94bef0038066b5d1b3dc763e,0.0
0032ca69771a7758ce643258bb9e4ac7,45.0
0037eb1ff742ee2e71ba887f65f3c6f3,0.0
003a5571a07dcf09bf117d13d2980ba3,149.9
0047f3e16441284d757a8963344f6c59,60.0
004df63539fd5e38d4b0a0506de7549c,949.99
00504b68faa074d0f40adcb4f7727f71,152.0
0056c2dd794a5eede6164dcae635875a,129.99
00737247e3dc1942da2c527ef3bd2709,59.9
007953b3182d5ccc9189a694f5c68163,99.99
00ac9cd5c4ad19e16e7c6f6864711737,209.9
00b246520d4904724f9b20188a2ff39b,12.99
00b2ca23369b68c4d4105ecea9c0cb93,65.9
00c31de6420048cb3f668c99153debf7,64.9
00cd1ffd1a85ec2af3de73a3d341339d,49.0
00d03b5e33f8987549c5590313a4ef21,19.99
00d1e5d82377766dac9f8dc4d4eaf4a8,116.30000000000001
00d4ef3e086e2191c3fb6e7b0d2a1c75,0.0
00d96f54b90a6ffbe7361bcfdb85b0ba,99.9
00da34ebf22b87f6c2f53dc069f237df,209.70000000000002
00dd4390a8e8ad7a126e8331decc49ce,94.9
00ecc71175078e2cac5547a5656e9622,219.99
00f0b70fdcb8a6e1671b52a2472bd41f,0.0
01007ebf75cabcd9d81d1aac37b278ca,60.9
011509f63f565e822767bfb89c3cf9b7,26.69
011b7396d7220ca4ff52508adcb6b870,29.5
012755131a5b785b0ae3291c339a9051,358.98
012b41c1dae00a092474ca48dc764a00,0.0
013802b3b98584222c1280e654a655b1,113.9
013f4353d26bb05dc6652f1269458d8d,0.0
014dcb5d582d60bca6a379e45a9041da,47.56
01593b828c6e7c516ed078a4820ab9b2,31.99
015aba8b6e516fbf6ee76c164c11987b,69.9
016a461e59c71a989c278fb565441696,200.0
01858f2fad256b1689f5bdafc059f745,0.0
01927626c24c5826ceb6ca6b2797fd60,259.9
019890d2ead42f267a2c66919d9dedce,179.0
019954cc9c2ceb2084881eefdf48f0f9,89.0
01a4788c8bd6d0d6a5b16ccdfd393b74,64.0
01a4fe5fc00bbdb0b0a4af5a5345cca5,0.0
01a7888cc755d6ad17b03de5f5543641,69.9
01cbe0a1a969bf0936fd97298ae18cc8,0.0
01daeb09de8f07882ccd4319ffbc4693,30.0
01dd34b5f4cee2a48f03ba1cce8c592c,74.0
020311f9fc67a990f3d43b481398a259,0.0
0204f3da94dadaf3fa21305413e02d63,73.5
0209f290b5451d357308bc0e90521026,572.64
021109bdb16fa17c2463cab87da314f3,100.8
02198c63d3e65ea299d6d8d3c7a11665,14.2
02238d275f51bce58c8e97218621bd91,21.9
022657d659cf88bcc8c22774f3f0b61a,0.0
02278b7fe04a285092542fa4313cdc31,34.9
022949b07073de5d6173732ea01d6155,0.0
023c8fe9cea056407269dfe9bdd57a8c,37.8
024f153bf5ff2f378be3577f3248f283,80.0
0255fc149c1f191319c8c431479e5d8c,0.0
0258cd3b5e7c4b397cc09ea472677e73,139.8
027179319d6e0b4958b300ba6e9e35e6,81.35
0283917cf6822284c4341224ef003fb6,39.78
0283d9c78c980d3ea0fce611bbc8ad5b,240.0
0296ddaa154279cc2bd15621e06e6f1f,99.9
02ab4d19fd037fa00ad9892f7d529a8f,129.9
02b2ee0aa7ac4b3db5463ec3863ff8f7,0.0
02b6ef845021b8fefe19c8d200f3ee06,1914.58
02c639f8dd288caf7cc6dc66513c23b3,93.99
02c9e0c05a817d4562ec0e8c90f29dba,75.9
02e7d568f699b57b0bbb98cef89e0832,0.0
02e8a66528e84b3ca6150d9b1e03a26f,2110.0
02e9109b7e0a985108b43e573b6afb23,39.0
0309db53bd596593382d0accd83d292e,670.0
0319cd43072df023584a1fa0a94d45ce,229.9
031e19fc630c4121f1238716f41675c3,10.1
032cfb33364e07ebcafb4b8a92d7eec4,69.9
032e4efa58936187018b68818b0f49c4,68.8
0331dad88c30f83604221e326fecbaed,24.99
