customer_unique_id,customer_state,revenue,on_time_deliveries,CustomerType
0000366f3b9a7992bf8c76cfdf3221e2,SP,0.0,1,One-Time
0000f46a3911fa3c0805444483337064,SC,69.0,1,One-Time
0004aac84e0df4da2b147fca70cf8255,SP,0.0,1,One-Time
00053a61a98854899e70ed204dd4bafe,PR,382.0,2,One-Time
0005ef4cd20d2893f0d9fbd94d3c0d97,MA,104.9,0,One-Time
0006fdc98a402fceb4eb0ee528f6a8d4,ES,13.9,1,One-Time
00082cbe03e478190aadbea78542e933,SP,79.0,1,One-Time
00090324bbad0e9342388303bb71ba0a,SP,49.95,1,One-Time
000949456b182f53c18b68d6babc79c1,SP,0.0,1,One-Time
000a5ad9c4601d2bbdd9ed765d5213b3,RS,0.0,1,One-Time
000bfa1d2f1a41876493be685390d6d3,SP,0.0,1,One-Time
000d460961d6dbfa3ec6c9f5805769e1,SP,28.9,1,One-Time
000e309254ab1fc5ba99dd469d36bdb4,GO,119.8,2,One-Time
000ec5bff359e1c0ad76a81a45cb598f,SP,14.96,1,One-Time
000ed48ceeb6f4bf8ad021a10a3c7b43,SP,12.88,1,One-Time
0010a452c6d13139e50b57f19f52e04e,RS,299.0,1,One-Time
0010fb34b966d44409382af9e8fd5b77,SP,49.95,0,One-Time
001147e649a7b1afd577e873841632dd,PR,170.0,2,One-Time
00115fc7123b5310cf6d3a3aa932699e,DF,59.99,1,One-Time
0011805441c0d1b68b48002f1d005526,PA,0.0,1,One-Time
0011857aff0e5871ce5eb429f21cdaf5,SP,174.33,1,One-Time
0014a5a58da615f7b01a4f5e194bf5ea,SP,88.0,1,One-Time
0015752e079902b12cd00b9b7596276b,SP,59.8,2,One-Time
00172711b30d52eea8b313a7f2cced02,BA,74.5,2,Repeat
00191a9719ef48ebb5860b130347bf33,SP,47.9,1,One-Time
001926cef41060fae572e2e7b30bd2a4,MT,48.79,2,One-Time
001928b561575b2821c92254a2327d06,SP,136.89000000000001,2,One-Time
00196c4c9a3af7dd2ad10eade69c926f,SP,22.32,1,One-Time
00196fdb2bf9edfc35e88ebfbcf8d781,RS,12.9,0,One-Time
0019e8c501c85848ac0966d45226fa1d,MT,159.99,1,One-Time
001a2bf0e46c684031af91fb2bce149d,SP,24.88,1,One-Time
001a34eb30ecb8e3aacb07c475ca4dd1,SP,151.9,1,One-Time
001a3a8e11d76c9a366c31a4aa2cc529,RS,9.0,1,One-Time
001ae5a1788703d64536c30362503e49,RJ,89.99,1,One-Time
002043098f10ba39a4600b6c52fbfe3c,SE,176.99,1,One-Time
002311514717ca8b65b09a26cdf7b91a,SP,116.25,1,One-Time
0023557a94bef0038066b5d1b3dc763e,SP,0.0,1,One-Time
0025795df7a7d077c4c90162fa820085,SP,0.0,1,One-Time
0027324a96d26a2bc7d69262f83c8403,SP,37.9,1,One-Time
0028a7d8db7b0247652509358ad8d755,SP,548.0,2,One-Time
0028cfeb9dfcd3628a56d5b6400deef5,SP,95.9,1,One-Time
00293787e2aec37a9c253b63fdfe2049,RJ,237.8,2,One-Time
0029bd580d3012618731f5abb174a07f,SP,39.9,1,One-Time
002aba8c1af80acacef6e011f9f23262,RJ,0.0,0,One-Time
002ae492472e45ad6ebeb7a625409392,DF,103.98,2,One-Time
002b4cd83fabaffaa475f78ea5ef3e08,MG,49.9,1,One-Time
002bdeb33da5b1b3ce8b9c822f749c82,SC,23.99,1,One-Time
002cdf87d4c03f08f7eb4551a923affc,SP,196.99,0,One-Time
002d71b244beb91ca7030b15ab526446,SP,115.0,1,One-Time
002da6dde369f6a8b4c999ed61eb5a87,SP,44.99,1,One-Time
002eb8b96288f3804e21d2777ac29895,MG,0.0,1,One-Time
002ed12115742033f015cb3c269ccf68,SP,97.9,1,One-Time
002feefec5af0a3b26ee7839c66d205e,RJ,59.9,0,One-Time
003035f5ec76f2220098377482de93c9,MG,49.99,1,One-Time
003162bf0351f47a1a247992b8b9b42d,ES,514.9,1,One-Time
00324c9f4d710e7bac5c5ba679714430,TO,59.8,2,One-Time
0032c76b20340da25249092a268ce66c,SP,128.9,1,One-Time
0032ca69771a7758ce643258bb9e4ac7,SP,45.0,1,One-Time
0033f4a2887e07e25aa1204d482f41ba,BA,350.0,1,One-Time
00344274804f3b8003de1b0562ae01df,PE,188.0,1,One-Time
0034c76b7e6a17d738375b99afc2f01e,MG,26.0,1,One-Time
0036a074f98b80c4f1fc33dbbcf9c552,RS,16.99,1,One-Time
0036b4a3d09ad551a5188c2e374da402,PR,148.0,1,One-Time
0036d365b138cc0ee06bed755bcb5044,BA,79.9,1,One-Time
00377a18050b898b93e2c774be9947db,MT,49.99,0,One-Time
0037aa56b017c105c3a9d47af71fff98,MG,425.0,1,One-Time
0037d2bbb9ebc39d9114aea27ee16d72,SP,119.9,1,One-Time
0037eb1ff742ee2e71ba887f65f3c6f3,PE,0.0,1,One-Time
003800162424b7b5b3d75c9cf22a66e7,BA,0.0,1,One-Time
00391594070baf8603f5fdc1d0c6a48c,SP,105.0,1,One-Time
003a5571a07dcf09bf117d13d2980ba3,BA,149.9,1,One-Time
003a7a8eb096ed3cbf713d2def1ca701,MA,99.99,1,One-Time
003ac9408252444b489b1bfc013f5f8c,SP,18.75,1,One-Time
003ae409f37c3c30cb1c974af3a42692,MG,195.0,1,One-Time
003c457932a554e4df13834237b1ed00,SP,129.9,1,One-Time
003d56767e53e08671de00da3fba8d40,MG,157.0,1,One-Time
003e2af81ea3c72fbdd093f07724a4de,SP,0.0,1,One-Time
003f4901fdb60ae9c1e2538b84c208e1,DF,148.0,1,One-Time
003fb95e849e71e732629d94bb92762f,SP,57.99,1,One-Time
003fee4ca17927283128c7ddc6f9311b,RJ,85.0,0,One-Time
004177f7bf62929186b32c7fdaa6157b,RJ,393.98,2,One-Time
004288347e5e88a27ded2bb23747066c,RJ,317.89,2,Repeat
0042dcca0ae57aaec6e808edc31a2d48,AL,69.8,1,One-Time
0042dfa8925d6eb23e471ec350454f04,SP,49.9,1,One-Time
0043d65f8039b4a4d43bc7b0f450ac2c,MG,49.9,1,One-Time
00444f48f6c9b55657e49435ce3a97ca,MG,39.9,1,One-Time
00446a03d7a34d191507c9e42870d0a5,SP,109.9,1,One-Time
004493e0b0a37317d25665d340c0677d,RJ,64.99,1,One-Time
0045e9ad4d6c85d2323a7ab374b76183,MG,5.9,1,One-Time
0047f3e16441284d757a8963344f6c59,SP,60.0,1,One-Time
0048706e497cfba0b689e1e3497bc99e,SP,69.5,1,One-Time
0048a779a98a7848514096ff04046079,MG,21.7,1,One-Time
0049dadc30da6a277c1e9d371df5a66f,DF,0.0,1,One-Time
0049db44bfd6cee26ac9c649329ff6ea,SP,80.0,2,One-Time
0049ec2d7a5818d0e4b3f4735cec2458,PR,25.9,1,One-Time
004a432489f6630c6dfd3fc4454603f5,PR,0.0,1,One-Time
004ad212c650c96c8a48f30855a7bcb8,MG,0.0,1,One-Time
004b45ec5c64187465168251cd1c9c2f,AL,86.9,2,Repeat
004b9b1634b7becda8eec4e96bced882,SP,134.99,1,One-Time
004d17fa2cb102a7c4817f040c884e59,SP,32.0,1,One-Time
004df63539fd5e38d4b0a0506de7549c,PA,949.99,1,One-Time
004ed862ea4e55f18868d3d782d10879,SP,94.9,1,One-Time
00504b68faa074d0f40adcb4f7727f71,RJ,152.0,2,One-Time
00522457bba00bba576a34fd9b4808fd,SP,103.97,1,One-Time
005226be8d5b972d0f72b4e8a79f322b,RJ,1561.0,1,One-Time
00539155ce68fbe677934aebdb17e09b,SP,48.99,1,One-Time
0055b522bc89cbfbf376d8b59a628470,CE,328.0,1,One-Time
0055bbb9c95f6acb8db89d1f6c316407,SC,68.0,1,One-Time
0056c2dd794a5eede6164dcae635875a,MG,129.99,1,One-Time
0056f26cb8f20916c3baa0e39fc30709,SP,92.9,1,One-Time
0058f300f57d7b93c477a131a59b36c3,BA,205.06,3,Repeat
0059acd36094bf670ec8b21be6c0044c,MG,0.0,1,One-Time
005d8faa4cf789cf52fb880a8569880a,DF,79.99,1,One-Time
005e32bc930906dc6b65fb9d11cce3e2,RS,32.0,1,One-Time
005f060d4223956c62b64e9567a36f0f,SP,689.0,1,One-Time
005f4b46e70bbd3295a38e2fd28d6566,RJ,49.8,1,One-Time
006031108b00e5f73b2426a50b50f9c0,SP,189.9,1,One-Time
00605a8897ed9ad73b5c93bebad2541a,RJ,12.9,0,One-Time
00626f29f9b57d3ef7c1739ff03e944e,PI,0.0,1,One-Time
0063817060d662048ed08bccecaf45d5,MT,0.0,1,One-Time
0064a1b5f5cddd047c987b988a90c8c1,SP,0.0,1,One-Time
0064c96f536ac6250275482221834154,SP,52.66,1,One-Time
00651d97d964127ccfc0e2e55464876d,SP,15.0,1,One-Time
0065f6fb341f013a95a8e11cdc98d07a,SP,89.9,1,One-Time
0065f7795a38381973a373c8b4939679,RS,15.99,1,One-Time
0066b328e72fd82fd7420bf849c0e8b4,SP,84.94,1,One-Time
0067d2652c12515146721538868bbd80,SC,0.0,1,One-Time
0068bd2e9e76c018846dbc6e2bec5ac5,SP,59.9,1,One-Time
006a8c1784d622ebe06bab57e72ee045,RJ,49.0,0,One-Time
006ab6f5e82340e927757563a9fbe7e4,RJ,267.2,0,One-Time
006bbb235068a01d2e3e47fa09ccf53c,DF,19.9,1,One-Time
006c10bfead12ac8d90486fb4ce4e603,SP,67.99,1,One-Time
006d763076d74d16d66e828e79ec1544,MG,79.9,1,One-Time
006ec5b170182812131c7d9b219c036f,MG,44.98,1,One-Time
006f2f20cf0cd723624b99d0e8e40d0c,PR,29.99,1,One-Time
00704e915ae0d4a236eace0267454cf9,MG,108.9,1,One-Time
0071f46a072a9ae25bbe4438b15efe9c,SP,0.0,1,One-Time
