customer_id,Revenue,Segment
00053a61a98854899e70ed204dd4bafe,191.0,High Value
00082cbe03e478190aadbea78542e933,79.0,Medium Value
000949456b182f53c18b68d6babc79c1,0.0,Low Value
000bfa1d2f1a41876493be685390d6d3,0.0,Low Value
000d460961d6dbfa3ec6c9f5805769e1,28.9,Low Value
0010fb34b966d44409382af9e8fd5b77,49.95,Medium Value
00191a9719ef48ebb5860b130347bf33,47.9,Medium Value
00196c4c9a3af7dd2ad10eade69c926f,22.32,Low Value
00196fdb2bf9edfc35e88ebfbcf8d781,12.9,Low Value
0019e8c501c85848ac0966d45226fa1d,159.99,High Value
001a2bf0e46c684031af91fb2bce149d,24.88,Low Value
002043098f10ba39a4600b6c52fbfe3c,176.99,High Value
0023557a94bef0038066b5d1b3dc763e,0.0,Low Value
0028cfeb9dfcd3628a56d5b6400deef5,95.9,Medium Value
002cdf87d4c03f08f7eb4551a923affc,196.99,High Value
003035f5ec76f2220098377482de93c9,49.99,Medium Value
0032c76b20340da25249092a268ce66c,128.9,High Value
0032ca69771a7758ce643258bb9e4ac7,45.0,Medium Value
0034c76b7e6a17d738375b99afc2f01e,26.0,Low Value
0037d2bbb9ebc39d9114aea27ee16d72,119.9,High Value
0037eb1ff742ee2e71ba887f65f3c6f3,0.0,Low Value
003800162424b7b5b3d75c9cf22a66e7,0.0,Low Value
00391594070baf8603f5fdc1d0c6a48c,105.0,High Value
003a5571a07dcf09bf117d13d2980ba3,149.9,High Value
003ae409f37c3c30cb1c974af3a42692,195.0,High Value
003d56767e53e08671de00da3fba8d40,157.0,High Value
003e2af81ea3c72fbdd093f07724a4de,0.0,Low Value
003fee4ca17927283128c7ddc6f9311b,85.0,Medium Value
0042dcca0ae57aaec6e808edc31a2d48,69.8,Medium Value
0042dfa8925d6eb23e471ec350454f04,49.9,Medium Value
0043d65f8039b4a4d43bc7b0f450ac2c,49.9,Medium Value
004493e0b0a37317d25665d340c0677d,64.99,Medium Value
0047f3e16441284d757a8963344f6c59,60.0,Medium Value
004df63539fd5e38d4b0a0506de7549c,949.99,High Value
00504b68faa074d0f40adcb4f7727f71,76.0,Medium Value
00522457bba00bba576a34fd9b4808fd,103.97,High Value
0056c2dd794a5eede6164dcae635875a,129.99,High Value
0058f300f57d7b93c477a131a59b36c3,59.9,Medium Value
005f060d4223956c62b64e9567a36f0f,689.0,High Value
0064a1b5f5cddd047c987b988a90c8c1,0.0,Low Value
0064c96f536ac6250275482221834154,52.66,Medium Value
006f2f20cf0cd723624b99d0e8e40d0c,29.99,Low Value
00737247e3dc1942da2c527ef3bd2709,59.9,Medium Value
0078108af1d2dc4b1601c744ca581b4f,0.0,Low Value
007953b3182d5ccc9189a694f5c68163,99.99,High Value
0087c31081ea8d160baa06bf4ad4d76f,160.0,High Value
008b06aba4b5f5b5b94f525ccf520624,33.99,Medium Value
008fb2ecc75561d202dd4db2e0ceec25,32.99,Low Value
0093aeb87eca387dd153f965aa10c060,0.0,Low Value
0093c499f4f9c0e169ead490aa62ce3e,210.0,High Value
009671b5dc80cdf32aeb5850868ba81c,62.99,Medium Value
0096c9cb600a08e601f7c2be6734531a,169.0,High Value
009b0127b727ab0ba422f6d9604487c7,0.0,Low Value
009dd7b313c04f4ccd9d4e423bc04ba7,79.98,Medium Value
00a78b45ea275348c1a8081bef9ab61b,169.9,High Value
00ab80210f1875276065f3c1911a2110,25.5,Low Value
00ac9cd5c4ad19e16e7c6f6864711737,209.9,High Value
00af5c2c9fd47849143be82aea5ab2cf,47.49,Medium Value
00b246520d4904724f9b20188a2ff39b,12.99,Low Value
00b2ca23369b68c4d4105ecea9c0cb93,65.9,Medium Value
00b309d0151d92709de70e43d662711b,89.9,Medium Value
00b8076004092a29c2c934570c356fc7,199.9,High Value
00c31de6420048cb3f668c99153debf7,64.9,Medium Value
00c916ff33b521444787ac76ac6b029d,69.9,Medium Value
00cc2d4fcb3a1864b4f900741915aa85,54.99,Medium Value
00cc7c54469f4177319d6bb12e883652,0.0,Low Value
00cc8551c0621bc65a440e836bb652d7,79.9,Medium Value
00cd1ffd1a85ec2af3de73a3d341339d,49.0,Medium Value
00cd767526517f8a4fc27db6cc5a52fa,79.9,Medium Value
00d03b5e33f8987549c5590313a4ef21,19.99,Low Value
00d1e5d82377766dac9f8dc4d4eaf4a8,58.150000000000006,Medium Value
00d447911e5d5ae87480df8734b915f2,0.0,Low Value
00d4ef3e086e2191c3fb6e7b0d2a1c75,0.0,Low Value
00d8a60ad2500432d9edd109cfddfd9e,59.0,Medium Value
00d96f54b90a6ffbe7361bcfdb85b0ba,99.9,High Value
00da34ebf22b87f6c2f53dc069f237df,69.9,Medium Value
00db525fd8d4023dc446f0ed2519139f,195.3,High Value
00dd4390a8e8ad7a126e8331decc49ce,94.9,Medium Value
00e151934c812526b4ed6174c8b7b1f7,129.0,High Value
00e57919b893c89f4d9eee8d06c41f6f,0.0,Low Value
00e91970e7fa706ece5b58bdb6344224,25.45,Low Value
00ec6ce865af3a65e9cca32b180e5d20,58.900000000000006,Medium Value
00ecc71175078e2cac5547a5656e9622,219.99,High Value
00f0b70fdcb8a6e1671b52a2472bd41f,0.0,Low Value
00f8fcf41cceee827e699cc73950218d,69.9,Medium Value
00face5c8f7dbb7eefd4112722f26903,0.0,Low Value
00fd18b088edb95d1a35457f1c0e1bfa,89.99,Medium Value
01007c64cbffc1eef7ee682dae0ddbfe,179.99,High Value
01007ebf75cabcd9d81d1aac37b278ca,60.9,Medium Value
010a0365ab237a5e2fed9d945121b627,0.0,Low Value
0113282a7fe79b3d8489193ccc601efb,118.0,High Value
01147fb2cf81b69cdcfdc1ac4c6fae7e,0.0,Low Value
011509f63f565e822767bfb89c3cf9b7,26.69,Low Value
011b4adcd54683b480c4d841250a987f,56.97,Medium Value
011b7396d7220ca4ff52508adcb6b870,29.5,Low Value
011c3e6b4b11fa8a326a39e78deb6e66,7.87,Low Value
012452d40dafae4df401bced74cdb490,0.0,Low Value
012510db7f0db8481f8a3708400c8db9,99.99,High Value
0125200158c999d5813b11be482a48da,69.9,Medium Value
012755131a5b785b0ae3291c339a9051,179.49,High Value
0129147743b7712da1c4a55a59d0fb16,34.9,Medium Value
012b41c1dae00a092474ca48dc764a00,0.0,Low Value
013802b3b98584222c1280e654a655b1,113.9,High Value
0138dff42973f40e8f5225472526f278,149.9,High Value
013f4353d26bb05dc6652f1269458d8d,0.0,Low Value
014644ae002bacd78bb05521f7e9aaab,12.9,Low Value
01489018af4a609acb2fa2634c9ce643,58.99,Medium Value
014dc284927e986549bf255eb79eb3ab,129.9,High Value
014dcb5d582d60bca6a379e45a9041da,11.89,Low Value
014fa2f37ee690774a7505252a28daf3,24.9,Low Value
0151cf157e4682357e62be311f4823b7,79.9,Medium Value
0153b79c47a4953a7dad6fb93ab45a02,193.0,High Value
015546ec984c58044b2a1304f24193a7,0.0,Low Value
015557c9912277312b9073947804a7ba,230.0,High Value
01593b828c6e7c516ed078a4820ab9b2,31.99,Low Value
015aba8b6e516fbf6ee76c164c11987b,69.9,Medium Value
015cd0b039aa3b36cf78f41d8f54e3d0,82.8,Medium Value
015f170c7abe45372b9f0414d901e71b,29.0,Low Value
016a461e59c71a989c278fb565441696,200.0,High Value
016a5760b723a3a0bcb4b294d4bc6b45,199.9,High Value
016ac660c79288138b5d6d3570eadc9d,70.97,Medium Value
016c60628fc64e15fa5990e58a0b57c1,76.58,Medium Value
016dc4411329d2b3292a0fbf1402e95e,209.99,High Value
0177f6975b155c814ea6273eccc58d82,217.0,High Value
0178fa4e501691dec0663f439950d4de,23.8,Low Value
017c17dd6f2e7859373a5724b863801e,86.9,Medium Value
017c4e59e1a95482f32f65e03a46af95,69.99,Medium Value
017c5a91ab1759799a4d68be8091b8ab,68.8,Medium Value
0180d29fed77d26d59490f37198514a1,60.0,Medium Value
01835b7ef446c78d0c37077894aa068d,27.9,Low Value
01838e7d69d87bd8ff2b6ff06789adfb,126.9,High Value
01858f2fad256b1689f5bdafc059f745,0.0,Low Value
01886ef98f995e4f2dd75a1d04c97397,0.0,Low Value
0189334b410cf5340ba839359af8a959,190.9,High Value
0189cca3aa2a0f75ca0cde94ee38be57,84.99,Medium Value
01927626c24c5826ceb6ca6b2797fd60,259.9,High Value
019890d2ead42f267a2c66919d9dedce,179.0,High Value
019954cc9c2ceb2084881eefdf48f0f9,89.0,Medium Value
01a22e2079ea71e17313b88e5811e54a,46.5,Medium Value
01a4788c8bd6d0d6a5b16ccdfd393b74,64.0,Medium Value
01a4fe5fc00bbdb0b0a4af5a5345cca5,0.0,Low Value
01a6d398ee25ef8ce7ace2d3620ce248,49.0,Medium Value
01a7888cc755d6ad17b03de5f5543641,69.9,Medium Value
01a8574d68d5a495ebe94a4790f6fe34,118.99,High Value
01aa30b6c0412a1548fc29e2c98033cf,0.0,Low Value
01b0d417af24703a0b20cbe71f354285,64.9,Medium Value
01bbbfc56b8ec1052e46f260226e34f9,79.99,Medium Value
01bc9765e0b1cbb83ec85d576ddc4ef6,199.99,High Value
01bf87cfe6b10b53c057c03b9e7d034f,39.9,Medium Value
01c64acc2efd27442844ed61dd9981cc,19.99,Low Value
01c849814dd6cd478f0ee6343414acb7,99.99,High Value
01cbe0a1a969bf0936fd97298ae18cc8,0.0,Low Value
01cf555dad51551a56a1bdc9fbf2acd6,101.0,High Value
01d4133dfc24adea1d8d8b7f5ee44aa4,0.0,Low Value
01d46b5cad3cda9c22f52df41197a671,29.9,Low Value
01d7b0d6f8958188afa680d75dd47919,77.9,Medium Value
01daeb09de8f07882ccd4319ffbc4693,30.0,Low Value
01dd34b5f4cee2a48f03ba1cce8c592c,37.0,Medium Value
01dfe4b4e19154abdebe71e50f52f88d,105.0,High Value
01e019838e4e21dd66bb6f69352334f8,359.0,High Value
01e123d7c7cedf12af483fc17258b9ce,197.5,High Value
01e66e20cc67536e6fa27878ed07ad0a,19.9,Low Value
01e80828765c999c3f5a7713f3912309,28.28,Low Value
01e8feee57ec1b6447fdd4fbea8093cb,122.99,High Value
01ec28844a316ded17fa50fd28b98123,104.0,High Value
01fdfc6e1f85ad504461c6699adb246c,13.65,Low Value
020299859eabbac628a0b2d6ea22bb9d,49.9,Medium Value
020311f9fc67a990f3d43b481398a259,0.0,Low Value
0204f3da94dadaf3fa21305413e02d63,73.5,Medium Value
02054940ff45a170ddd0acca60575eea,224.5,High Value
0209a0a5c96cc50dd1bbe71e3730af2a,28.3,Low Value
0209f290b5451d357308bc0e90521026,95.44,Medium Value
020aa2d69bca8c7a0b3da5f8e602c26d,89.99,Medium Value
021109bdb16fa17c2463cab87da314f3,100.8,High Value
0213ec5289d86c40bda69ed571b5853f,559.0,High Value
02198c63d3e65ea299d6d8d3c7a11665,14.2,Low Value
