order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,item_count,unique_products,unique_sellers,item_revenue,freight_value,avg_item_price,max_item_price,product_categories,distinct_categories,avg_product_weight_g,avg_product_volume_cm3,payment_value,payment_installments,payment_types,credit_card_value,payment_credit_card_value,credit_card_share,review_score,review_count,has_review_comment,purchase_date,purchase_month,delivery_days,estimated_delivery_days,approval_hours,late_delivery_flag,delivered_flag,cancelled_flag,geolocation_zip_code_prefix,latitude,longitude,geo_city,geo_state,geo_records
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,2017-10-02 10:56:33,2017-10-02 11:07:15,2017-10-04 19:55:00,2017-10-10 21:25:13,2017-10-18,7c396fd4830fd04220f754e42b4e5bff,3149,sao paulo,SP,1.0,1.0,1.0,29.99,8.72,29.99,29.99,housewares,1.0,500.0,1976.0,38.71,1.0,"credit_card, voucher",0.0,18.12,0.46809609919917333,4.0,1.0,1.0,2017-10-02,2017-10,8.436574074074073,15.5440625,0.17833333333333334,0.0,1,0,3149.0,-23.57581574382538,-46.58730323219278,sao paulo,SP,16.0
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,2018-07-24 20:41:37,2018-07-26 03:24:27,2018-07-26 14:31:00,2018-08-07 15:27:45,2018-08-13,af07308b275d755c9edb36a90c618231,47813,barreiras,BA,1.0,1.0,1.0,118.7,22.76,118.7,118.7,perfumery,1.0,400.0,4693.0,141.46,1.0,boleto,0.0,0.0,0.0,4.0,1.0,1.0,2018-07-24,2018-07,13.782037037037037,19.137766203703702,30.71388888888889,0.0,1,0,47813.0,-12.12653277707746,-45.008244491808455,barreiras,BA,14.0
47770eb9100c2d0c44946d9cf07ec65d,41ce2a54c0b03bf3443c3d931a367089,delivered,2018-08-08 08:38:49,2018-08-08 08:55:23,2018-08-08 13:50:00,2018-08-17 18:06:29,2018-09-04,3a653a41f6f9fc3d2a113cf8398680e8,75265,vianopolis,GO,1.0,1.0,1.0,159.9,19.22,159.9,159.9,auto,1.0,420.0,9576.0,179.12,3.0,credit_card,0.0,179.12,1.0,5.0,1.0,0.0,2018-08-08,2018-08,9.394212962962962,26.63971064814815,0.2761111111111111,0.0,1,0,75265.0,-16.744471878861734,-48.51462382317262,vianopolis,GO,25.0
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,delivered,2017-11-18 19:28:06,2017-11-18 19:45:59,2017-11-22 13:39:59,2017-12-02 00:28:42,2017-12-15,7c142cf63193a1473d2e66489a9ae977,59296,sao goncalo do amarante,RN,1.0,1.0,1.0,45.0,27.2,45.0,45.0,pet_shop,1.0,450.0,6000.0,72.2,1.0,credit_card,0.0,72.2,1.0,5.0,1.0,1.0,2017-11-18,2017-11,13.20875,26.188819444444444,0.2980555555555556,0.0,1,0,59296.0,-5.773970771999927,-35.27383849968337,sao goncalo do amarante,RN,17.0
ad21c59c0840e6cb83a9ceb5573f8159,8ab97904e6daea8866dbdbc4fb7aad2c,delivered,2018-02-13 21:18:39,2018-02-13 22:20:29,2018-02-14 19:46:34,2018-02-16 18:17:02,2018-02-26,72632f0f9dd73dfee390c9b22eb56dd6,9195,santo andre,SP,1.0,1.0,1.0,19.9,8.72,19.9,19.9,stationery,1.0,250.0,11475.0,28.62,1.0,credit_card,0.0,28.62,1.0,5.0,1.0,0.0,2018-02-13,2018-02,2.873877314814815,12.112048611111112,1.0305555555555554,0.0,1,0,9195.0,-23.675470579563736,-46.51478832361937,santo andre,SP,153.0
a4591c265e18cb1dcee52889e2d8acc3,503740e9ca751ccdda7ba28e9ab8f608,delivered,2017-07-09 21:57:05,2017-07-09 22:10:13,2017-07-11 14:58:04,2017-07-26 10:57:55,2017-08-01,80bb27c7c16e8f973207a5086ab329e2,86320,congonhinhas,PR,1.0,1.0,1.0,147.9,27.36,147.9,147.9,auto,1.0,7150.0,42250.0,175.26,6.0,credit_card,0.0,175.26,1.0,4.0,1.0,0.0,2017-07-09,2017-07,16.54224537037037,22.085358796296298,0.21888888888888888,0.0,1,0,86320.0,-23.55111660094325,-50.55161276736519,congonhinhas,PR,29.0
136cce7faa42fdb2cefd53fdc79a6098,ed0271e0b7da060a393796590e7b737a,invoiced,2017-04-11 12:22:08,2017-04-13 13:25:17,,,2017-05-09,36edbb3fb164b1f16485364b6fb04c73,98900,santa rosa,RS,1.0,1.0,1.0,49.9,16.05,49.9,49.9,unknown,1.0,600.0,18375.0,65.95,1.0,credit_card,0.0,65.95,1.0,2.0,1.0,1.0,2017-04-11,2017-04,,27.48462962962963,49.0525,,0,0,98900.0,-27.866006091626502,-54.47446595890798,santa rosa,RS,157.0
6514b8ad8028c9f2cc2374ded245783f,9bdf08b4b3b52b5526ff42d37d47f222,delivered,2017-05-16 13:10:30,2017-05-16 13:22:11,2017-05-22 10:07:46,2017-05-26 12:55:51,2017-06-07,932afa1e708222e5821dac9cd5db4cae,26525,nilopolis,RJ,1.0,1.0,1.0,59.99,15.17,59.99,59.99,auto,1.0,50.0,4352.0,75.16,3.0,credit_card,0.0,75.16,1.0,5.0,1.0,0.0,2017-05-16,2017-05,9.989826388888888,21.451041666666665,0.1947222222222222,0.0,1,0,26525.0,-22.805727853240136,-43.42319046563006,nilopolis,RJ,131.0
76c6e866289321a7c93b82b54852dc33,f54a9f0e6b351c431402b8461ea51999,delivered,2017-01-23 18:29:09,2017-01-25 02:50:47,2017-01-26 14:16:31,2017-02-02 14:08:10,2017-03-06,39382392765b6dc74812866ee5ee92a7,99655,faxinalzinho,RS,1.0,1.0,1.0,19.9,16.05,19.9,19.9,furniture_decor,1.0,300.0,18375.0,35.95,1.0,boleto,0.0,0.0,0.0,1.0,1.0,0.0,2017-01-23,2017-01,9.818761574074074,41.229756944444446,32.36055555555556,0.0,1,0,99655.0,-27.421906378784303,-52.67445154446519,faxinalzinho,RS,3.0
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,delivered,2017-07-29 11:55:02,2017-07-29 12:05:32,2017-08-10 19:45:24,2017-08-16 17:14:30,2017-08-23,299905e3934e9e181bfb2e164dd4b4f8,18075,sorocaba,SP,1.0,1.0,1.0,149.99,19.77,149.99,149.99,office_furniture,1.0,9750.0,72324.0,169.76,1.0,"credit_card, voucher",0.0,8.34,0.04912818096135721,5.0,1.0,0.0,2017-07-29,2017-07,18.221851851851852,24.503449074074073,0.175,0.0,1,0,18075.0,-23.474584058283813,-47.468432833891136,sorocaba,SP,121.0
