customer_unique_id,segment,cluster_id,recency_days,frequency,monetary,avg_order_value,avg_review_score,avg_delivery_days,late_delivery_rate,state,city
0000366f3b9a7992bf8c76cfdf3221e2,Dormant Low-Engagement Buyers,4,112,1,141.9,141.9,5.0,6.411226851851852,0.0,SP,cajamar
0000b849f77a49e4a4ce2b2a4ca5be3f,Service-Risk / Low-Satisfaction Customers,0,115,1,27.19,27.19,4.0,3.2855902777777777,0.0,SP,osasco
0000f46a3911fa3c0805444483337064,High-Value Multi-Order Customers,3,537,1,86.22,86.22,3.0,25.73175925925926,0.0,SC,sao jose
0000f6ccb0745a6a4b88665a16c9f078,Service-Risk / Low-Satisfaction Customers,0,321,1,43.62,43.62,4.0,20.03708333333333,0.0,PA,belem
0004aac84e0df4da2b147fca70cf8255,High-Value Multi-Order Customers,3,288,1,196.89,196.89,5.0,13.141134259259259,0.0,SP,sorocaba
0004bd2a26a76fe21f786e4fbd80607f,Dormant Low-Engagement Buyers,4,146,1,166.98,166.98,4.0,1.8607291666666668,0.0,SP,sao paulo
00050ab1314c0e55a6ca13cf7181fecf,Premium Basket Buyers,2,132,1,35.38,35.38,4.0,6.966388888888889,0.0,SP,campinas
00053a61a98854899e70ed204dd4bafe,High-Value Multi-Order Customers,3,183,1,419.18,419.18,1.0,16.324421296296297,0.0,PR,curitiba
0005e1862207bf6ccc02e4228effd9a0,Dormant Low-Engagement Buyers,4,543,1,150.12,150.12,4.0,4.375648148148148,0.0,RJ,teresopolis
0005ef4cd20d2893f0d9fbd94d3c0d97,High-Value Multi-Order Customers,3,170,1,129.76,129.76,1.0,53.88641203703704,1.0,MA,sao luis
0006fdc98a402fceb4eb0ee528f6a8d4,Service-Risk / Low-Satisfaction Customers,0,408,1,29.0,29.0,3.0,16.38864583333333,0.0,ES,mimoso do sul
00082cbe03e478190aadbea78542e933,Premium Basket Buyers,2,283,1,126.26,126.26,5.0,10.273229166666667,0.0,SP,itapeva
00090324bbad0e9342388303bb71ba0a,Dormant Low-Engagement Buyers,4,159,1,63.66,63.66,5.0,15.952094907407407,0.0,SP,campinas
000949456b182f53c18b68d6babc79c1,Premium Basket Buyers,2,129,1,82.05,82.05,4.0,7.2356134259259255,0.0,SP,sao bernardo do campo
000a5ad9c4601d2bbdd9ed765d5213b3,Dormant Low-Engagement Buyers,4,384,1,91.28,91.28,4.0,11.30048611111111,0.0,RS,porto alegre
000bfa1d2f1a41876493be685390d6d3,Dormant Low-Engagement Buyers,4,335,1,46.85,46.85,4.5,13.960520833333334,0.0,SP,santos
000c8bdb58a29e7115cfc257230fb21b,Service-Risk / Low-Satisfaction Customers,0,260,1,29.0,29.0,5.0,14.113622685185184,0.0,MG,belo horizonte
000d460961d6dbfa3ec6c9f5805769e1,Dormant Low-Engagement Buyers,4,234,1,36.68,36.68,5.0,3.9728935185185184,0.0,SP,sao paulo
000de6019bb59f34c099a907c151d855,High-Value Multi-Order Customers,3,377,1,257.44,257.44,2.0,4.005659722222222,0.0,SP,sao sebastiao
000e309254ab1fc5ba99dd469d36bdb4,Premium Basket Buyers,2,66,1,78.42,78.42,3.0,14.54900462962963,0.0,GO,valparaiso de goias
