customer_unique_id,last_purchase,total_revenue,total_orders,Recency,Churn,Churn_Probability,Future_Risk
ffffd2657e2aad2907e67c3e9daecbeb,2017-05-02 20:18:00,0.0,1,533,1,1.0,Critical
0000366f3b9a7992bf8c76cfdf3221e2,2018-05-10 10:56:00,0.0,1,161,1,1.0,Critical
0000f46a3911fa3c0805444483337064,2017-03-10 21:05:00,69.0,1,586,1,1.0,Critical
0004aac84e0df4da2b147fca70cf8255,2017-11-14 19:45:00,0.0,1,337,1,1.0,Critical
00053a61a98854899e70ed204dd4bafe,2018-02-28 11:15:00,382.0,1,232,1,1.0,Critical
0005ef4cd20d2893f0d9fbd94d3c0d97,2018-03-12 15:22:00,104.9,1,220,1,1.0,Critical
0006fdc98a402fceb4eb0ee528f6a8d4,2017-07-18 09:23:00,13.9,1,457,1,1.0,Critical
ffedff0547d809c90c05c2691c51f9b7,2017-03-30 14:50:00,0.0,1,567,1,1.0,Critical
ffeddf8aa7cdecf403e77b2e9a99e2ea,2018-05-13 16:04:00,330.0,1,158,1,1.0,Critical
ffec10ad4229ba46818560e1c8b40a68,2018-04-05 05:11:00,120.0,1,196,1,1.0,Critical
ffe9be10b9a58c5464d833e8b1b2c632,2017-11-27 14:18:00,140.0,1,325,1,1.0,Critical
ffe9102bb78a76921ba0ff3c4659616a,2017-06-09 13:25:00,385.26,1,496,1,1.0,Critical
ffe780a8995715d9560ca10f3351710f,2017-08-10 12:44:00,0.0,1,434,1,1.0,Critical
ffe7752edcf14b5819058b1948e02f3a,2017-06-13 21:25:00,50.0,1,491,1,1.0,Critical
ffe76cb2f4bb39384c432d65ece67441,2018-04-25 10:26:00,49.0,1,176,1,1.0,Critical
ffe6efca3c7e6a06bad0a6a883280a93,2018-01-24 11:31:00,213.9,1,267,1,1.0,Critical
ffe4d6bcc48632f0bb1bedf53702cc4b,2018-03-07 17:15:00,70.0,1,225,1,1.0,Critical
ffe4c3aa14d4702fb11fe5b3c4dd755c,2017-05-25 13:18:00,118.9,1,511,1,1.0,Critical
ffe39c116d96cd81dcdfd9dcca655cd1,2017-07-24 11:18:00,205.0,1,451,1,1.0,Critical
ffe2dd1f3b0cbf0b5f35e818ec03c49b,2017-03-05 21:23:00,89.99,1,591,1,1.0,Critical
0027324a96d26a2bc7d69262f83c8403,2018-03-25 11:51:00,37.9,1,207,1,1.0,Critical
0023557a94bef0038066b5d1b3dc763e,2018-03-28 19:53:00,0.0,1,203,1,1.0,Critical
002311514717ca8b65b09a26cdf7b91a,2018-06-27 11:34:00,116.25,1,113,1,1.0,Critical
002043098f10ba39a4600b6c52fbfe3c,2017-03-26 16:45:00,176.99,1,571,1,1.0,Critical
001ae5a1788703d64536c30362503e49,2017-12-08 11:32:00,89.99,1,314,1,1.0,Critical
001a3a8e11d76c9a366c31a4aa2cc529,2018-05-21 01:24:00,9.0,1,150,1,1.0,Critical
001a34eb30ecb8e3aacb07c475ca4dd1,2018-07-11 19:49:00,151.9,1,98,1,1.0,Critical
001a2bf0e46c684031af91fb2bce149d,2017-06-29 22:43:00,24.88,1,475,1,1.0,Critical
0019e8c501c85848ac0966d45226fa1d,2018-05-01 09:25:00,159.99,1,170,1,1.0,Critical
00196fdb2bf9edfc35e88ebfbcf8d781,2018-02-22 19:06:00,12.9,1,237,1,1.0,Critical
001926cef41060fae572e2e7b30bd2a4,2017-08-17 12:55:00,48.79,1,427,1,1.0,Critical
00191a9719ef48ebb5860b130347bf33,2017-04-19 11:32:00,47.9,1,547,1,1.0,Critical
003162bf0351f47a1a247992b8b9b42d,2018-07-14 15:45:00,514.9,1,96,1,1.0,Critical
003035f5ec76f2220098377482de93c9,2017-08-28 21:35:00,49.99,1,415,1,1.0,Critical
002feefec5af0a3b26ee7839c66d205e,2017-10-29 12:19:00,59.9,1,354,1,1.0,Critical
002ed12115742033f015cb3c269ccf68,2018-01-30 13:50:00,97.9,1,261,1,1.0,Critical
002eb8b96288f3804e21d2777ac29895,2017-07-22 13:24:00,0.0,1,453,1,1.0,Critical
002da6dde369f6a8b4c999ed61eb5a87,2018-04-12 11:03:00,44.99,1,189,1,1.0,Critical
002d71b244beb91ca7030b15ab526446,2017-05-22 22:24:00,115.0,1,513,1,1.0,Critical
002cdf87d4c03f08f7eb4551a923affc,2017-10-31 17:32:00,196.99,1,351,1,1.0,Critical
002bdeb33da5b1b3ce8b9c822f749c82,2017-12-05 19:04:00,23.99,1,316,1,1.0,Critical
002b4cd83fabaffaa475f78ea5ef3e08,2017-02-01 13:53:00,49.9,1,624,1,1.0,Critical
002ae492472e45ad6ebeb7a625409392,2017-10-08 23:56:00,103.98,1,374,1,1.0,Critical
002aba8c1af80acacef6e011f9f23262,2018-02-27 12:47:00,0.0,1,233,1,1.0,Critical
0029bd580d3012618731f5abb174a07f,2017-11-02 13:24:00,39.9,1,350,1,1.0,Critical
00293787e2aec37a9c253b63fdfe2049,2017-10-27 14:25:00,237.8,1,356,1,1.0,Critical
0028cfeb9dfcd3628a56d5b6400deef5,2018-01-07 00:12:00,95.9,1,284,1,1.0,Critical
0028a7d8db7b0247652509358ad8d755,2017-12-13 15:49:00,548.0,1,309,1,1.0,Critical
003800162424b7b5b3d75c9cf22a66e7,2018-04-01 21:29:00,0.0,1,199,1,1.0,Critical
0037eb1ff742ee2e71ba887f65f3c6f3,2017-07-13 09:00:00,0.0,1,462,1,1.0,Critical
0037d2bbb9ebc39d9114aea27ee16d72,2017-03-27 12:24:00,119.9,1,570,1,1.0,Critical
0037aa56b017c105c3a9d47af71fff98,2018-01-26 16:52:00,425.0,1,265,1,1.0,Critical
00377a18050b898b93e2c774be9947db,2017-11-25 13:40:00,49.99,1,327,1,1.0,Critical
0036d365b138cc0ee06bed755bcb5044,2018-01-31 14:41:00,79.9,1,260,1,1.0,Critical
0036b4a3d09ad551a5188c2e374da402,2017-08-09 16:14:00,148.0,1,435,1,1.0,Critical
0036a074f98b80c4f1fc33dbbcf9c552,2017-05-12 09:24:00,16.99,1,524,1,1.0,Critical
0034c76b7e6a17d738375b99afc2f01e,2018-05-07 16:17:00,26.0,1,164,1,1.0,Critical
00344274804f3b8003de1b0562ae01df,2018-07-09 14:09:00,188.0,1,101,1,1.0,Critical
0033f4a2887e07e25aa1204d482f41ba,2018-06-26 01:07:00,350.0,1,114,1,1.0,Critical
0032ca69771a7758ce643258bb9e4ac7,2018-07-16 15:32:00,45.0,1,94,1,1.0,Critical
0032c76b20340da25249092a268ce66c,2016-10-06 11:32:00,128.9,1,742,1,1.0,Critical
00324c9f4d710e7bac5c5ba679714430,2017-06-21 20:40:00,59.8,1,483,1,1.0,Critical
00446a03d7a34d191507c9e42870d0a5,2017-03-06 20:08:00,109.9,1,590,1,1.0,Critical
00444f48f6c9b55657e49435ce3a97ca,2017-06-09 16:15:00,39.9,1,496,1,1.0,Critical
0043d65f8039b4a4d43bc7b0f450ac2c,2017-04-20 12:57:00,49.9,1,546,1,1.0,Critical
0042dcca0ae57aaec6e808edc31a2d48,2017-12-02 12:02:00,69.8,1,320,1,1.0,Critical
004288347e5e88a27ded2bb23747066c,2018-01-14 07:36:00,317.89,2,277,1,1.0,Critical
004177f7bf62929186b32c7fdaa6157b,2017-10-19 16:07:00,393.98,1,364,1,1.0,Critical
003fee4ca17927283128c7ddc6f9311b,2018-05-08 13:08:00,85.0,1,163,1,1.0,Critical
003f4901fdb60ae9c1e2538b84c208e1,2017-11-19 20:22:00,148.0,1,332,1,1.0,Critical
003e2af81ea3c72fbdd093f07724a4de,2018-04-16 20:59:00,0.0,1,184,1,1.0,Critical
003d56767e53e08671de00da3fba8d40,2017-12-01 12:48:00,157.0,1,321,1,1.0,Critical
003c457932a554e4df13834237b1ed00,2018-01-05 10:23:00,129.9,1,286,1,1.0,Critical
003ac9408252444b489b1bfc013f5f8c,2018-03-16 17:56:00,18.75,1,215,1,1.0,Critical
004ed862ea4e55f18868d3d782d10879,2017-08-06 20:34:00,94.9,1,437,1,1.0,Critical
004df63539fd5e38d4b0a0506de7549c,2018-07-16 13:30:00,949.99,1,94,1,1.0,Critical
004d17fa2cb102a7c4817f040c884e59,2018-02-13 07:17:00,32.0,1,247,1,1.0,Critical
004b45ec5c64187465168251cd1c9c2f,2018-05-26 19:42:00,86.9,2,144,1,1.0,Critical
004ad212c650c96c8a48f30855a7bcb8,2017-09-24 10:45:00,0.0,1,389,1,1.0,Critical
004a432489f6630c6dfd3fc4454603f5,2017-12-16 09:25:00,0.0,1,306,1,1.0,Critical
0049ec2d7a5818d0e4b3f4735cec2458,2018-07-19 08:17:00,25.9,1,91,1,1.0,Critical
0049db44bfd6cee26ac9c649329ff6ea,2017-03-07 13:28:00,80.0,1,590,1,1.0,Critical
0049dadc30da6a277c1e9d371df5a66f,2017-06-13 19:49:00,0.0,1,491,1,1.0,Critical
0047f3e16441284d757a8963344f6c59,2017-08-28 10:29:00,60.0,1,416,1,1.0,Critical
0045e9ad4d6c85d2323a7ab374b76183,2018-06-19 23:13:00,5.9,1,120,1,1.0,Critical
004493e0b0a37317d25665d340c0677d,2018-06-06 17:44:00,64.99,1,133,1,1.0,Critical
ffe254cc039740e17dd15a5305035928,2017-04-02 16:33:00,37.18,2,564,1,1.0,Critical
ffe0c10afc687bcf34a0451f2b87dd9b,2018-02-08 21:58:00,179.0,1,251,1,1.0,Critical
ffdffea8a4b04f14987bfef2a2287fa9,2017-09-13 11:04:00,887.0,1,400,1,1.0,Critical
ffddf4e5baa1623f69d3c5e0d775e1af,2018-01-17 10:44:00,169.0,1,274,1,1.0,Critical
ffdde6e4dcb6ec3a882cfc6cddef7996,2017-12-10 13:13:00,0.0,1,312,1,1.0,Critical
ffdd1e311843bb858885335ae77bb97a,2017-11-24 19:03:00,7.0,1,327,1,1.0,Critical
ffdcd85e0e81fc93f49bef4d54a4e61f,2017-08-29 10:46:00,59.9,1,415,1,1.0,Critical
ffd973d43cadfa3e60340bcad8d87696,2017-11-26 21:22:00,110.0,1,325,1,1.0,Critical
ffd8073f8abebb72f6afe32e8f8d7827,2018-01-16 12:56:00,79.9,1,275,1,1.0,Critical
ffd4cecb7511e2c62b91b165773dc890,2017-10-31 21:34:00,29.99,1,351,1,1.0,Critical
ffd44de1326179fff550dae07c6884c2,2017-05-29 17:41:00,111.9,1,506,1,1.0,Critical
ffd402998b20b0b8325f54e770264733,2018-05-31 10:16:00,13.9,1,140,1,1.0,Critical
ffd2e2ad95719ab7fedc9e02c5e26a62,2018-05-17 16:56:00,0.0,1,154,1,1.0,Critical
ffd2aac179372f267e7b9186ac7a1bcc,2018-06-19 14:21:00,13.9,1,121,1,1.0,Critical
